"lat","long"
49.2351,-123.2095
45.2178,-123.2088
39.1517,-123.2077
49.2338,-123.2076
44.1411,-123.2052
49.6237,-123.2052
47.4137,-123.1981
49.234,-123.1927
49.225,-123.1923
48.0807,-123.1884
49.163,-123.1883
49.2294,-123.1805
49.2303,-123.1799
44.1754,-123.1769
49.2253,-123.1757
49.1453,-123.1757
45.7159,-123.1741
48.1171,-123.1736
48.1172,-123.1736
42.4379,-123.1694
49.221,-123.1691
44.9335,-123.1632
44.9337,-123.1598
48.1095,-123.1597
49.2147,-123.159
49.2931,-123.1466
49.2905,-123.1454
49.3232,-123.1452
49.1724,-123.1436
49.2096,-123.14
49.2663,-123.1395
49.2646,-123.1363
49.7488,-123.1351
46.8459,-123.1335
49.3037,-123.1313
49.3536,-123.1246
49.1333,-123.1241
49.2847,-123.1218
49.7351,-123.1193
49.734,-123.1182
49.2849,-123.1148
49.1922,-123.1144
49.2176,-123.1135
49.2876,-123.1132
49.2877,-123.1131
49.2453,-123.1116
44.9079,-123.1097
49.3349,-123.1083
49.3237,-123.108
49.3346,-123.1079
49.3345,-123.1078
49.3344,-123.1074
45.5627,-123.105
44.6606,-123.1038
45.6121,-123.1028
44.6477,-123.1027
47.1273,-123.1013
49.1252,-123.1007
44.908,-123.0967
48.1115,-123.0957
49.3155,-123.0944
49.2495,-123.094
44.1079,-123.0922
